Numerator, Denominator, Average Time, Output
47, 1, 121, 47
47, 2, 245, 1081
47, 3, 221, 16215
47, 4, 291, 178365
47, 5, 495, 1533939
47, 6, 495, 10737573
47, 7, 695, 62891499
47, 8, 787, 314457495
47, 9, 962, 1362649145
47, 10, 1066, 5178066751
48, 1, 204, 48
48, 2, 171, 1128
48, 3, 229, 17296
48, 4, 283, 194580
48, 5, 374, 1712304
48, 6, 512, 12271512
48, 7, 604, 73629072
48, 8, 750, 377348994
48, 9, 816, 1677106640
48, 10, 1041, 6540715896
49, 1, 120, 49
49, 2, 308, 1176
49, 3, 225, 18424
49, 4, 304, 211876
49, 5, 470, 1906884
49, 6, 491, 13983816
49, 7, 546, 85900584
49, 8, 591, 450978066
49, 9, 858, 2054455634
49, 10, 1216, 8217822536
50, 1, 296, 50
50, 2, 162, 1225
50, 3, 225, 19600
50, 4, 383, 230300
50, 5, 370, 2118760
50, 6, 558, 15890700
50, 7, 491, 99884400
50, 8, 708, 536878650
50, 9, 795, 2505433700
50, 10, 945, 10272278170
51, 1, 108, 51
51, 2, 166, 1275
51, 3, 229, 20825
51, 4, 291, 249900
51, 5, 458, 2349060
51, 6, 474, 18009460
51, 7, 666, 115775100
51, 8, 700, 636763050
51, 9, 1058, 3042312350
51, 10, 858, 12777711870
52, 1, 212, 52
52, 2, 170, 1326
52, 3, 242, 22100
52, 4, 358, 270725
52, 5, 358, 2598960
52, 6, 570, 20358520
52, 7, 604, 133784560
52, 8, 841, 752538150
52, 9, 874, 3679075400
52, 10, 970, 15820024220
