Numerator, Denominator, Average Time, Output
45, 10, 76, 3190187286
46, 1, 57, 46
46, 2, 59, 1035
46, 3, 55, 15180
46, 4, 63, 163185
46, 5, 56, 1370754
46, 6, 68, 9366819
46, 7, 73, 53524680
46, 8, 82, 260932815
46, 9, 83, 1101716330
46, 10, 99, 4076350421
47, 1, 59, 47
47, 2, 51, 1081
47, 3, 55, 16215
47, 4, 51, 178365
47, 5, 55, 1533939
47, 6, 59, 10737573
47, 7, 81, 62891499
47, 8, 87, 314457495
47, 9, 83, 1362649145
47, 10, 91, 5178066751
48, 1, 59, 48
48, 2, 51, 1128
48, 3, 55, 17296
48, 4, 51, 194580
48, 5, 59, 1712304
48, 6, 60, 12271512
48, 7, 80, 73629072
48, 8, 78, 377348994
48, 9, 78, 1677106640
48, 10, 87, 6540715896
49, 1, 67, 49
49, 2, 52, 1176
49, 3, 55, 18424
49, 4, 55, 211876
49, 5, 80, 1906884
49, 6, 70, 13983816
49, 7, 77, 85900584
49, 8, 82, 450978066
49, 9, 95, 2054455634
49, 10, 88, 8217822536
50, 1, 54, 50
50, 2, 59, 1225
50, 3, 55, 19600
50, 4, 59, 230300
50, 5, 64, 2118760
50, 6, 68, 15890700
50, 7, 81, 99884400
50, 8, 74, 536878650
50, 9, 82, 2505433700
50, 10, 87, 10272278170
51, 1, 67, 51
51, 2, 60, 1275
51, 3, 51, 20825
51, 4, 55, 249900
51, 5, 72, 2349060
51, 6, 65, 18009460
51, 7, 77, 115775100
51, 8, 82, 636763050
51, 9, 87, 3042312350
51, 10, 100, 12777711870
52, 1, 80, 52
52, 2, 78, 1326
52, 3, 74, 22100
52, 4, 65, 270725
52, 5, 73, 2598960
52, 6, 86, 20358520
52, 7, 108, 133784560
52, 8, 94, 752538150
52, 9, 71, 3679075400
52, 10, 94, 15820024220
